group_code,group_name,sku_code,jan_code,name_variant,color,size,quantity,reorder_point,safety_stock,unit_price_ex_tax,is_active,group_description,sort_order
MCT-101,テーパードチノパンツ（ダミー02）,MCT-101-BG-L,4519900000134,定番,ベージュ,L,17,10,17,1671,true,オフィスカジュアル向け。,1
MCT-101,テーパードチノパンツ（ダミー02）,MCT-101-OL-M,4519900000141,シーズン限定風,オリーブ,M,22,11,14,1727,true,オフィスカジュアル向け。,1
MCT-101,テーパードチノパンツ（ダミー02）,MCT-101-GY-XS,4519900000158,定番,グレー,XS,20,12,16,1789,true,オフィスカジュアル向け。,1
MCT-101,テーパードチノパンツ（ダミー02）,MCT-101-OL-L,4519900000165,シーズン限定風,オリーブ,L,3,13,18,1744,true,オフィスカジュアル向け。,1
MDJ-102,デニムジャケット（ダミー03）,MDJ-102-BG-S,4519900000172,定番,ベージュ,S,4,7,10,1722,true,12oz セルビッジ風。,2
MDJ-102,デニムジャケット（ダミー03）,MDJ-102-BD-M,4519900000189,シーズン限定風,バーガンディ,M,23,8,12,1774,true,12oz セルビッジ風。,2
MDJ-102,デニムジャケット（ダミー03）,MDJ-102-BK-S,4519900000196,定番,ブラック,S,23,9,14,1865,true,12oz セルビッジ風。,2
MDJ-102,デニムジャケット（ダミー03）,MDJ-102-BD-S,4519900000202,シーズン限定風,バーガンディ,S,25,10,16,1858,true,12oz セルビッジ風。,2
MDJ-102,デニムジャケット（ダミー03）,MDJ-102-OL-S,4519900000219,定番,オリーブ,S,32,11,18,1987,true,12oz セルビッジ風。,2
MDJ-102,デニムジャケット（ダミー03）,MDJ-102-GY-M,4519900000226,シーズン限定風,グレー,M,1,12,15,1960,true,12oz セルビッジ風。,2
MDJ-102,デニムジャケット（ダミー03）,MDJ-102-OL-M,4519900000233,定番,オリーブ,M,10,13,17,2045,true,12oz セルビッジ風。,2
MDJ-102,デニムジャケット（ダミー03）,MDJ-102-WH-M,4519900000240,シーズン限定風,ホワイト,M,4,14,19,2117,true,12oz セルビッジ風。,2
MWC-103,ウールチェスターコート（ダミー04）,MWC-103-OL-M,4519900000257,定番,オリーブ,M,24,8,11,2048,true,ミドル丈シングル。,3
MWC-103,ウールチェスターコート（ダミー04）,MWC-103-OL-XL,4519900000264,シーズン限定風,オリーブ,XL,16,9,13,2075,true,ミドル丈シングル。,3
MWC-103,ウールチェスターコート（ダミー04）,MWC-103-WH-M,4519900000271,定番,ホワイト,M,10,10,15,2063,true,ミドル丈シングル。,3
MWC-103,ウールチェスターコート（ダミー04）,MWC-103-BK-M,4519900000288,シーズン限定風,ブラック,M,23,11,17,2205,true,ミドル丈シングル。,3
MWC-103,ウールチェスターコート（ダミー04）,MWC-103-GY-XL,4519900000295,定番,グレー,XL,19,12,19,2179,true,ミドル丈シングル。,3
MWC-103,ウールチェスターコート（ダミー04）,MWC-103-MS-XL,4519900000301,シーズン限定風,マスタード,XL,5,13,16,2261,true,ミドル丈シングル。,3
MWC-103,ウールチェスターコート（ダミー04）,MWC-103-GY-M,4519900000318,定番,グレー,M,4,14,18,2317,true,ミドル丈シングル。,3
MWC-103,ウールチェスターコート（ダミー04）,MWC-103-OL-S,4519900000325,シーズン限定風,オリーブ,S,8,15,20,2359,true,ミドル丈シングル。,3
MSP-104,スニーカーローカット（ダミー05）,MSP-104-OL-L,4519900000332,定番,オリーブ,L,18,9,12,2180,true,クッションソール。,4
MSP-104,スニーカーローカット（ダミー05）,MSP-104-WH-L,4519900000349,シーズン限定風,ホワイト,L,22,10,14,2250,true,クッションソール。,4
MSP-104,スニーカーローカット（ダミー05）,MSP-104-GY-XS,4519900000356,定番,グレー,XS,4,11,16,2381,true,クッションソール。,4
MSP-104,スニーカーローカット（ダミー05）,MSP-104-WH-M,4519900000363,シーズン限定風,ホワイト,M,12,12,18,2351,true,クッションソール。,4
MSP-104,スニーカーローカット（ダミー05）,MSP-104-WH-XS,4519900000370,定番,ホワイト,XS,17,13,20,2398,true,クッションソール。,4
MSP-104,スニーカーローカット（ダミー05）,MSP-104-BD-M,4519900000387,シーズン限定風,バーガンディ,M,8,14,17,2494,true,クッションソール。,4
MSP-104,スニーカーローカット（ダミー05）,MSP-104-BD-L,4519900000394,定番,バーガンディ,L,30,15,19,2531,true,クッションソール。,4
MSP-104,スニーカーローカット（ダミー05）,MSP-104-WH-S,4519900000400,シーズン限定風,ホワイト,S,26,16,21,2533,true,クッションソール。,4
MSH-105,スウェットフーディ（ダミー06）,MSH-105-OL-S,4519900000417,定番,オリーブ,S,23,10,13,2517,true,裏起毛。,5
MSH-105,スウェットフーディ（ダミー06）,MSH-105-GY-M,4519900000424,シーズン限定風,グレー,M,3,11,15,2481,true,裏起毛。,5
MSH-105,スウェットフーディ（ダミー06）,MSH-105-OL-M,4519900000431,定番,オリーブ,M,28,12,17,2530,true,裏起毛。,5
MSH-105,スウェットフーディ（ダミー06）,MSH-105-BD-S,4519900000448,シーズン限定風,バーガンディ,S,17,13,19,2566,true,裏起毛。,5
MSH-105,スウェットフーディ（ダミー06）,MSH-105-GY-S,4519900000455,定番,グレー,S,28,14,21,2716,true,裏起毛。,5
MSH-105,スウェットフーディ（ダミー06）,MSH-105-CH-S,4519900000462,シーズン限定風,チャコール,S,6,15,18,2726,true,裏起毛。,5
MSH-105,スウェットフーディ（ダミー06）,MSH-105-SB-S,4519900000479,定番,スカイブルー,S,0,16,20,2803,true,裏起毛。,5
MSH-105,スウェットフーディ（ダミー06）,MSH-105-MS-M,4519900000486,シーズン限定風,マスタード,M,7,5,10,2819,true,裏起毛。,5
MSS-106,リネンシャツ（ダミー07）,MSS-106-MS-M,4519900000493,定番,マスタード,M,1,11,14,2557,true,春夏向け。,6
MSS-106,リネンシャツ（ダミー07）,MSS-106-CM-S,4519900000509,シーズン限定風,キャメル,S,10,12,16,2611,true,春夏向け。,6
MSS-106,リネンシャツ（ダミー07）,MSS-106-SB-M,4519900000516,定番,スカイブルー,M,5,13,18,2604,true,春夏向け。,6
MSS-106,リネンシャツ（ダミー07）,MSS-106-SB-XL,4519900000523,シーズン限定風,スカイブルー,XL,4,14,20,2676,true,春夏向け。,6
MSS-106,リネンシャツ（ダミー07）,MSS-106-CH-L,4519900000530,定番,チャコール,L,15,15,22,2768,true,春夏向け。,6
MSS-106,リネンシャツ（ダミー07）,MSS-106-CM-M,4519900000547,シーズン限定風,キャメル,M,15,16,19,2751,true,春夏向け。,6
MSS-106,リネンシャツ（ダミー07）,MSS-106-MS-L,4519900000554,定番,マスタード,L,5,5,9,2880,true,春夏向け。,6
MSS-106,リネンシャツ（ダミー07）,MSS-106-OL-XL,4519900000561,シーズン限定風,オリーブ,XL,18,6,11,2886,true,春夏向け。,6
MCD-107,カーディガン（ダミー08）,MCD-107-BD-L,4519900000578,定番,バーガンディ,L,12,12,15,2594,true,Vネック。,7
MCD-107,カーディガン（ダミー08）,MCD-107-CH-L,4519900000585,シーズン限定風,チャコール,L,23,13,17,2669,true,Vネック。,7
MCD-107,カーディガン（ダミー08）,MCD-107-SB-L,4519900000592,定番,スカイブルー,L,34,14,19,2741,true,Vネック。,7
MCD-107,カーディガン（ダミー08）,MCD-107-BD-M,4519900000608,シーズン限定風,バーガンディ,M,15,15,21,2817,true,Vネック。,7
MCD-107,カーディガン（ダミー08）,MCD-107-PK-L,4519900000615,定番,ピンク,L,35,16,23,2847,true,Vネック。,7
MCD-107,カーディガン（ダミー08）,MCD-107-PK-M,4519900000622,シーズン限定風,ピンク,M,3,5,8,2830,true,Vネック。,7
MCD-107,カーディガン（ダミー08）,MCD-107-CM-S,4519900000639,定番,キャメル,S,6,6,10,2876,true,Vネック。,7
MCD-107,カーディガン（ダミー08）,MCD-107-CM-L,4519900000646,シーズン限定風,キャメル,L,23,7,12,2947,true,Vネック。,7
MAS-108,スポーツポロシャツ（ダミー09）,MAS-108-CM-S,4519900000653,定番,キャメル,S,13,13,16,2796,true,吸汗速乾。,8
MAS-108,スポーツポロシャツ（ダミー09）,MAS-108-MS-M,4519900000660,シーズン限定風,マスタード,M,8,14,18,2837,true,吸汗速乾。,8
MAS-108,スポーツポロシャツ（ダミー09）,MAS-108-LV-M,4519900000677,定番,ラベンダー,M,10,15,20,2924,true,吸汗速乾。,8
MAS-108,スポーツポロシャツ（ダミー09）,MAS-108-MS-S,4519900000684,シーズン限定風,マスタード,S,27,16,22,2918,true,吸汗速乾。,8
MAS-108,スポーツポロシャツ（ダミー09）,MAS-108-SB-S,4519900000691,定番,スカイブルー,S,2,5,12,3042,true,吸汗速乾。,8
MAS-108,スポーツポロシャツ（ダミー09）,MAS-108-PK-S,4519900000707,シーズン限定風,ピンク,S,4,6,9,3110,true,吸汗速乾。,8
MAS-108,スポーツポロシャツ（ダミー09）,MAS-108-CM-M,4519900000714,定番,キャメル,M,11,7,11,3072,true,吸汗速乾。,8
MAS-108,スポーツポロシャツ（ダミー09）,MAS-108-CH-S,4519900000721,シーズン限定風,チャコール,S,13,8,13,3143,true,吸汗速乾。,8
MFLJ-109,アンクルソックス3足組（ダミー10）,MFLJ-109-PK-XL,4519900000738,定番,ピンク,XL,24,14,17,3085,true,抗菌糸。,9
MFLJ-109,アンクルソックス3足組（ダミー10）,MFLJ-109-TQ-S,4519900000745,シーズン限定風,ターコイズ,S,30,15,19,3130,true,抗菌糸。,9
MFLJ-109,アンクルソックス3足組（ダミー10）,MFLJ-109-CM-M,4519900000752,定番,キャメル,M,29,16,21,3181,true,抗菌糸。,9
MFLJ-109,アンクルソックス3足組（ダミー10）,MFLJ-109-CM-S,4519900000769,シーズン限定風,キャメル,S,25,5,11,3154,true,抗菌糸。,9
MFLJ-109,アンクルソックス3足組（ダミー10）,MFLJ-109-TQ-XL,4519900000776,定番,ターコイズ,XL,0,6,13,3227,true,抗菌糸。,9
MFLJ-109,アンクルソックス3足組（ダミー10）,MFLJ-109-LV-S,4519900000783,シーズン限定風,ラベンダー,S,10,7,10,3234,true,抗菌糸。,9
MFLJ-109,アンクルソックス3足組（ダミー10）,MFLJ-109-CM-L,4519900000790,定番,キャメル,L,24,8,12,3358,true,抗菌糸。,9
MFLJ-109,アンクルソックス3足組（ダミー10）,MFLJ-109-CH-M,4519900000806,シーズン限定風,チャコール,M,16,9,14,3433,true,抗菌糸。,9
MCP-110,フェイクレザージャケット（ダミー11）,MCP-110-LV-M,4519900000813,定番,ラベンダー,M,0,15,18,3347,true,軽量タイプ。,10
MCP-110,フェイクレザージャケット（ダミー11）,MCP-110-IV-L,4519900000820,シーズン限定風,アイボリー,L,34,16,20,3388,true,軽量タイプ。,10
MCP-110,フェイクレザージャケット（ダミー11）,MCP-110-IV-M,4519900000837,定番,アイボリー,M,23,5,10,3390,true,軽量タイプ。,10
MCP-110,フェイクレザージャケット（ダミー11）,MCP-110-CH-M,4519900000844,シーズン限定風,チャコール,M,6,6,12,3479,true,軽量タイプ。,10
MCP-110,フェイクレザージャケット（ダミー11）,MCP-110-CM-L,4519900000851,定番,キャメル,L,29,7,14,3484,true,軽量タイプ。,10
MCP-110,フェイクレザージャケット（ダミー11）,MCP-110-CM-XS,4519900000868,シーズン限定風,キャメル,XS,21,8,11,3586,true,軽量タイプ。,10
MCP-110,フェイクレザージャケット（ダミー11）,MCP-110-LV-L,4519900000875,定番,ラベンダー,L,28,9,13,3583,true,軽量タイプ。,10
MCP-110,フェイクレザージャケット（ダミー11）,MCP-110-TQ-XS,4519900000882,シーズン限定風,ターコイズ,XS,21,10,15,3645,true,軽量タイプ。,10
MOS-111,コットンポロシャツ（ダミー12）,MOS-111-TQ-M,4519900000899,定番,ターコイズ,M,19,16,19,3561,true,鹿の子編み。,11
MOS-111,コットンポロシャツ（ダミー12）,MOS-111-CM-S,4519900000905,シーズン限定風,キャメル,S,18,5,9,3597,true,鹿の子編み。,11
MOS-111,コットンポロシャツ（ダミー12）,MOS-111-RD-M,4519900000912,定番,レッド,M,14,6,11,3692,true,鹿の子編み。,11
MOS-111,コットンポロシャツ（ダミー12）,MOS-111-IV-M,4519900000929,シーズン限定風,アイボリー,M,6,7,13,3757,true,鹿の子編み。,11
MOS-111,コットンポロシャツ（ダミー12）,MOS-111-CM-M,4519900000936,定番,キャメル,M,28,8,15,3800,true,鹿の子編み。,11
MOS-111,コットンポロシャツ（ダミー12）,MOS-111-RD-S,4519900000943,シーズン限定風,レッド,S,5,9,12,3792,true,鹿の子編み。,11
MOS-111,コットンポロシャツ（ダミー12）,MOS-111-LV-M,4519900000950,定番,ラベンダー,M,16,10,14,3885,true,鹿の子編み。,11
MOS-111,コットンポロシャツ（ダミー12）,MOS-111-TQ-S,4519900000967,シーズン限定風,ターコイズ,S,11,11,16,3952,true,鹿の子編み。,11
MMB-112,モールスキンジャケット（ダミー13）,MMB-112-LV-M,4519900000974,定番,ラベンダー,M,3,5,8,3478,true,ワークテイスト。,12
MMB-112,モールスキンジャケット（ダミー13）,MMB-112-RD-L,4519900000981,シーズン限定風,レッド,L,5,6,10,3589,true,ワークテイスト。,12
MMB-112,モールスキンジャケット（ダミー13）,MMB-112-PK-L,4519900000998,定番,ピンク,L,16,7,12,3621,true,ワークテイスト。,12
MMB-112,モールスキンジャケット（ダミー13）,MMB-112-RD-XL,4519900001001,シーズン限定風,レッド,XL,7,8,14,3615,true,ワークテイスト。,12
MMB-112,モールスキンジャケット（ダミー13）,MMB-112-TQ-XL,4519900001018,定番,ターコイズ,XL,29,9,16,3709,true,ワークテイスト。,12
MMB-112,モールスキンジャケット（ダミー13）,MMB-112-TQ-L,4519900001025,シーズン限定風,ターコイズ,L,21,10,13,3771,true,ワークテイスト。,12
MMB-112,モールスキンジャケット（ダミー13）,MMB-112-TQ-S,4519900001032,定番,ターコイズ,S,19,11,15,3846,true,ワークテイスト。,12
MMB-112,モールスキンジャケット（ダミー13）,MMB-112-IV-L,4519900001049,シーズン限定風,アイボリー,L,28,12,17,3892,true,ワークテイスト。,12
MRP-113,メッセンジャーバッグ（ダミー14）,MRP-113-TQ-M,4519900001056,定番,ターコイズ,M,10,6,9,3778,true,撥水。,13
MRP-113,メッセンジャーバッグ（ダミー14）,MRP-113-BG-L,4519900001063,シーズン限定風,ベージュ,L,4,7,11,3867,true,撥水。,13
MRP-113,メッセンジャーバッグ（ダミー14）,MRP-113-IV-S,4519900001070,定番,アイボリー,S,22,8,13,3895,true,撥水。,13
MRP-113,メッセンジャーバッグ（ダミー14）,MRP-113-LV-S,4519900001087,シーズン限定風,ラベンダー,S,2,9,15,3960,true,撥水。,13
MRP-113,メッセンジャーバッグ（ダミー14）,MRP-113-LV-M,4519900001094,定番,ラベンダー,M,29,10,17,3994,true,撥水。,13
MRP-113,メッセンジャーバッグ（ダミー14）,MRP-113-BG-XS,4519900001100,シーズン限定風,ベージュ,XS,26,11,14,4116,true,撥水。,13
MRP-113,メッセンジャーバッグ（ダミー14）,MRP-113-LV-XS,4519900001117,定番,ラベンダー,XS,1,12,16,4165,true,撥水。,13
MRP-113,メッセンジャーバッグ（ダミー14）,MRP-113-IV-L,4519900001124,シーズン限定風,アイボリー,L,24,13,18,4163,true,撥水。,13
MTK-114,リブタートルニット（ダミー15）,MTK-114-RD-S,4519900001131,定番,レッド,S,12,7,10,3928,true,ウール混。,14
MTK-114,リブタートルニット（ダミー15）,MTK-114-TQ-S,4519900001148,シーズン限定風,ターコイズ,S,25,8,12,3913,true,ウール混。,14
MTK-114,リブタートルニット（ダミー15）,MTK-114-RD-M,4519900001155,定番,レッド,M,26,9,14,3958,true,ウール混。,14
MTK-114,リブタートルニット（ダミー15）,MTK-114-BK-S,4519900001162,シーズン限定風,ブラック,S,1,10,16,4067,true,ウール混。,14
MTK-114,リブタートルニット（ダミー15）,MTK-114-IV-S,4519900001179,定番,アイボリー,S,1,11,18,4096,true,ウール混。,14
MTK-114,リブタートルニット（ダミー15）,MTK-114-TQ-M,4519900001186,シーズン限定風,ターコイズ,M,4,12,15,4115,true,ウール混。,14
MTK-114,リブタートルニット（ダミー15）,MTK-114-NV-M,4519900001193,定番,ネイビー,M,3,13,17,4183,true,ウール混。,14
MTK-114,リブタートルニット（ダミー15）,MTK-114-IV-M,4519900001209,シーズン限定風,アイボリー,M,13,14,19,4235,true,ウール混。,14
MPN-115,チノショートパンツ（ダミー16）,MPN-115-RD-XL,4519900001216,定番,レッド,XL,15,8,11,4331,true,膝上丈。,15
MPN-115,チノショートパンツ（ダミー16）,MPN-115-BK-XL,4519900001223,シーズン限定風,ブラック,XL,6,9,13,4341,true,膝上丈。,15
MPN-115,チノショートパンツ（ダミー16）,MPN-115-RD-M,4519900001230,定番,レッド,M,24,10,15,4436,true,膝上丈。,15
MPN-115,チノショートパンツ（ダミー16）,MPN-115-WH-XL,4519900001247,シーズン限定風,ホワイト,XL,7,11,17,4429,true,膝上丈。,15
MPN-115,チノショートパンツ（ダミー16）,MPN-115-RD-S,4519900001254,定番,レッド,S,12,12,19,4462,true,膝上丈。,15
MPN-115,チノショートパンツ（ダミー16）,MPN-115-NV-M,4519900001261,シーズン限定風,ネイビー,M,19,13,16,4557,true,膝上丈。,15
MPN-115,チノショートパンツ（ダミー16）,MPN-115-RD-L,4519900001278,定番,レッド,L,25,14,18,4584,true,膝上丈。,15
MPN-115,チノショートパンツ（ダミー16）,MPN-115-WH-S,4519900001285,シーズン限定風,ホワイト,S,4,15,20,4715,true,膝上丈。,15
MJK-116,ダウンベスト（ダミー17）,MJK-116-NV-XS,4519900001292,定番,ネイビー,XS,22,9,12,4393,true,700FP 風仕様。,16
MJK-116,ダウンベスト（ダミー17）,MJK-116-RD-M,4519900001308,シーズン限定風,レッド,M,23,10,14,4504,true,700FP 風仕様。,16
MJK-116,ダウンベスト（ダミー17）,MJK-116-BK-XS,4519900001315,定番,ブラック,XS,17,11,16,4539,true,700FP 風仕様。,16
MJK-116,ダウンベスト（ダミー17）,MJK-116-GY-S,4519900001322,シーズン限定風,グレー,S,30,12,18,4626,true,700FP 風仕様。,16
MJK-116,ダウンベスト（ダミー17）,MJK-116-WH-XS,4519900001339,定番,ホワイト,XS,17,13,20,4602,true,700FP 風仕様。,16
MJK-116,ダウンベスト（ダミー17）,MJK-116-GY-XS,4519900001346,シーズン限定風,グレー,XS,5,14,17,4678,true,700FP 風仕様。,16
MJK-116,ダウンベスト（ダミー17）,MJK-116-GY-L,4519900001353,定番,グレー,L,15,15,19,4743,true,700FP 風仕様。,16
MJK-116,ダウンベスト（ダミー17）,MJK-116-NV-M,4519900001360,シーズン限定風,ネイビー,M,24,16,21,4784,true,700FP 風仕様。,16
MCT2-117,フレアスカート（ダミー18）,MCT2-117-RD-M,4519900001377,定番,レッド,M,16,10,13,4406,true,ミモレ丈。,17
MCT2-117,フレアスカート（ダミー18）,MCT2-117-RD-S,4519900001384,シーズン限定風,レッド,S,7,11,15,4508,true,ミモレ丈。,17
MCT2-117,フレアスカート（ダミー18）,MCT2-117-WH-M,4519900001391,定番,ホワイト,M,15,12,17,4578,true,ミモレ丈。,17
MCT2-117,フレアスカート（ダミー18）,MCT2-117-WH-S,4519900001407,シーズン限定風,ホワイト,S,31,13,19,4548,true,ミモレ丈。,17
MCT2-117,フレアスカート（ダミー18）,MCT2-117-GY-S,4519900001414,定番,グレー,S,5,14,21,4647,true,ミモレ丈。,17
MCT2-117,フレアスカート（ダミー18）,MCT2-117-BK-S,4519900001421,シーズン限定風,ブラック,S,15,15,18,4720,true,ミモレ丈。,17
MCT2-117,フレアスカート（ダミー18）,MCT2-117-GY-M,4519900001438,定番,グレー,M,23,16,20,4763,true,ミモレ丈。,17
MCT2-117,フレアスカート（ダミー18）,MCT2-117-BG-S,4519900001445,シーズン限定風,ベージュ,S,11,5,10,4841,true,ミモレ丈。,17
MSW-118,キャップ6パネル（ダミー19）,MSW-118-BK-M,4519900001452,定番,ブラック,M,9,11,14,4713,true,コットンツイル。,18
MSW-118,キャップ6パネル（ダミー19）,MSW-118-BK-S,4519900001469,シーズン限定風,ブラック,S,12,12,16,4809,true,コットンツイル。,18
MSW-118,キャップ6パネル（ダミー19）,MSW-118-RD-S,4519900001476,定番,レッド,S,8,13,18,4797,true,コットンツイル。,18
MSW-118,キャップ6パネル（ダミー19）,MSW-118-BK-XL,4519900001483,シーズン限定風,ブラック,XL,35,14,20,4857,true,コットンツイル。,18
MSW-118,キャップ6パネル（ダミー19）,MSW-118-NV-S,4519900001490,定番,ネイビー,S,15,15,22,4892,true,コットンツイル。,18
MSW-118,キャップ6パネル（ダミー19）,MSW-118-GY-M,4519900001506,シーズン限定風,グレー,M,18,16,19,4997,true,コットンツイル。,18
MSW-118,キャップ6パネル（ダミー19）,MSW-118-GY-XL,4519900001513,定番,グレー,XL,10,5,9,4997,true,コットンツイル。,18
MSW-118,キャップ6パネル（ダミー19）,MSW-118-WH-M,4519900001520,シーズン限定風,ホワイト,M,8,6,11,5102,true,コットンツイル。,18
MBG-119,トートバッグL（ダミー20）,MBG-119-WH-XS,4519900001537,定番,ホワイト,XS,19,12,15,4660,true,キャンバス。,19
MBG-119,トートバッグL（ダミー20）,MBG-119-RD-XS,4519900001544,シーズン限定風,レッド,XS,13,13,17,4731,true,キャンバス。,19
MBG-119,トートバッグL（ダミー20）,MBG-119-GY-M,4519900001551,定番,グレー,M,5,14,19,4770,true,キャンバス。,19
MBG-119,トートバッグL（ダミー20）,MBG-119-NV-S,4519900001568,シーズン限定風,ネイビー,S,15,15,21,4798,true,キャンバス。,19
MBG-119,トートバッグL（ダミー20）,MBG-119-GY-XS,4519900001575,定番,グレー,XS,26,16,23,4924,true,キャンバス。,19
MBG-119,トートバッグL（ダミー20）,MBG-119-NV-L,4519900001582,シーズン限定風,ネイビー,L,15,5,8,4927,true,キャンバス。,19
MBG-119,トートバッグL（ダミー20）,MBG-119-BG-L,4519900001599,定番,ベージュ,L,9,6,10,5037,true,キャンバス。,19
MBG-119,トートバッグL（ダミー20）,MBG-119-BG-M,4519900001605,シーズン限定風,ベージュ,M,27,7,12,5085,true,キャンバス。,19
MLS-120,ウインドブレーカー（ダミー21）,MLS-120-NV-S,4519900001612,定番,ネイビー,S,4,13,16,4990,true,パッカブル。,20
MLS-120,ウインドブレーカー（ダミー21）,MLS-120-BK-M,4519900001629,シーズン限定風,ブラック,M,19,14,18,5044,true,パッカブル。,20
MLS-120,ウインドブレーカー（ダミー21）,MLS-120-WH-S,4519900001636,定番,ホワイト,S,18,15,20,5048,true,パッカブル。,20
MLS-120,ウインドブレーカー（ダミー21）,MLS-120-BG-M,4519900001643,シーズン限定風,ベージュ,M,19,16,22,5073,true,パッカブル。,20
MLS-120,ウインドブレーカー（ダミー21）,MLS-120-RD-M,4519900001650,定番,レッド,M,16,5,12,5145,true,パッカブル。,20
MLS-120,ウインドブレーカー（ダミー21）,MLS-120-GY-M,4519900001667,シーズン限定風,グレー,M,2,6,9,5194,true,パッカブル。,20
MLS-120,ウインドブレーカー（ダミー21）,MLS-120-RD-S,4519900001674,定番,レッド,S,23,7,11,5221,true,パッカブル。,20
MLS-120,ウインドブレーカー（ダミー21）,MLS-120-BK-S,4519900001681,シーズン限定風,ブラック,S,0,8,13,5325,true,パッカブル。,20
MCT-121,スキニージーンズ（ダミー22）,MCT-121-GY-S,4519900001698,定番,グレー,S,10,14,17,5332,true,ストレッチ。,21
MCT-121,スキニージーンズ（ダミー22）,MCT-121-GY-L,4519900001704,シーズン限定風,グレー,L,31,15,19,5345,true,ストレッチ。,21
MCT-121,スキニージーンズ（ダミー22）,MCT-121-WH-M,4519900001711,定番,ホワイト,M,16,16,21,5355,true,ストレッチ。,21
MCT-121,スキニージーンズ（ダミー22）,MCT-121-BK-M,4519900001728,シーズン限定風,ブラック,M,10,5,11,5408,true,ストレッチ。,21
MCT-121,スキニージーンズ（ダミー22）,MCT-121-BG-L,4519900001735,定番,ベージュ,L,24,6,13,5509,true,ストレッチ。,21
MCT-121,スキニージーンズ（ダミー22）,MCT-121-RD-XL,4519900001742,シーズン限定風,レッド,XL,0,7,10,5563,true,ストレッチ。,21
MCT-121,スキニージーンズ（ダミー22）,MCT-121-BK-S,4519900001759,定番,ブラック,S,14,8,12,5568,true,ストレッチ。,21
MCT-121,スキニージーンズ（ダミー22）,MCT-121-BG-XL,4519900001766,シーズン限定風,ベージュ,XL,16,9,14,5690,true,ストレッチ。,21
MDJ-122,オックスフォードBDシャツ（ダミー23）,MDJ-122-BK-S,4519900001773,定番,ブラック,S,7,15,18,5400,true,形態安定。,22
MDJ-122,オックスフォードBDシャツ（ダミー23）,MDJ-122-GY-L,4519900001780,シーズン限定風,グレー,L,9,16,20,5526,true,形態安定。,22
MDJ-122,オックスフォードBDシャツ（ダミー23）,MDJ-122-NV-S,4519900001797,定番,ネイビー,S,9,5,10,5519,true,形態安定。,22
MDJ-122,オックスフォードBDシャツ（ダミー23）,MDJ-122-WH-L,4519900001803,シーズン限定風,ホワイト,L,13,6,12,5595,true,形態安定。,22
MDJ-122,オックスフォードBDシャツ（ダミー23）,MDJ-122-BG-M,4519900001810,定番,ベージュ,M,7,7,14,5603,true,形態安定。,22
MDJ-122,オックスフォードBDシャツ（ダミー23）,MDJ-122-WH-M,4519900001827,シーズン限定風,ホワイト,M,12,8,11,5711,true,形態安定。,22
MDJ-122,オックスフォードBDシャツ（ダミー23）,MDJ-122-BK-XS,4519900001834,定番,ブラック,XS,16,9,13,5702,false,形態安定。,22
MDJ-122,オックスフォードBDシャツ（ダミー23）,MDJ-122-RD-M,4519900001841,シーズン限定風,レッド,M,10,10,15,5833,false,形態安定。,22
MWC-123,キルティングジャケット（ダミー24）,MWC-123-BK-S,4519900001858,定番,ブラック,S,34,16,19,5564,true,中綿。,23
MWC-123,キルティングジャケット（ダミー24）,MWC-123-RD-M,4519900001865,シーズン限定風,レッド,M,17,5,9,5620,true,中綿。,23
